generation,id,novelty,score,species,parent1,parent2
0,384,43.399764250957105,0.3960384913427576,5,-1,-1
1,255,42.46338560154839,0.30024071864085894,3,-1,-1
2,255,40.94563068859305,0.30024071864085894,3,-1,-1
3,255,40.3319320207311,0.30024071864085894,3,-1,-1
4,255,40.10830913563107,0.30024071864085894,4,-1,-1
5,2926,42.89127403834265,0.2768312485657641,4,2213,2228
6,2926,41.889233727564005,0.2768312485657641,4,2213,2228
7,2926,41.93460430107081,0.2768312485657641,4,2213,2228
8,4220,46.942747202695,0.027071538224579736,3,3720,3659
9,4220,47.456817278484245,0.027071538224579736,3,3720,3659
10,4220,45.950786106721885,0.027071538224579736,3,3720,3659
11,4220,47.2215142237424,0.027071538224579736,3,3720,3659
12,4220,47.145487596012245,0.027071538224579736,3,3720,3659
13,4220,46.02896514428199,0.027071538224579736,3,3720,3659
14,4220,46.774743414482515,0.027071538224579736,2,3720,3659
15,7724,48.106522702818935,0.1137246625135949,2,7285,6918
16,8329,47.27475156663771,0.3332516209691071,3,7803,7724
17,8329,46.986204754170224,0.3332516209691071,3,7803,7724
18,8329,45.99948944414435,0.3332516209691071,2,7803,7724
19,8329,48.87893360557076,0.3332516209691071,2,7803,7724
20,10198,52.03948580680292,0.09142552887090712,5,9631,9667
21,10198,51.657475192711196,0.09142552887090712,5,9631,9667
22,10198,51.96715952838468,0.09142552887090712,5,9631,9667
23,10198,51.70862157278165,0.09142552887090712,5,9631,9667
24,10198,51.20572009857961,0.09142552887090712,5,9631,9667
25,10198,52.92290184197953,0.09142552887090712,5,9631,9667
26,10198,51.94281246597599,0.09142552887090712,5,9631,9667
27,10198,49.49598425746366,0.09142552887090712,5,9631,9667
28,10198,48.660498102449914,0.09142552887090712,5,9631,9667
29,10198,48.785410772097066,0.09142552887090712,5,9631,9667
30,10198,52.19183975510466,0.09142552887090712,5,9631,9667
31,10198,51.51728544471226,0.09142552887090712,5,9631,9667
32,10198,50.947745434706725,0.09142552887090712,5,9631,9667
33,10198,50.87312947851511,0.09142552887090712,5,9631,9667
34,10198,48.86969382612347,0.09142552887090712,5,9631,9667
35,10198,51.82058321162792,0.09142552887090712,5,9631,9667
36,10198,50.45208622553412,0.09142552887090712,5,9631,9667
37,10198,50.633502831487526,0.09142552887090712,5,9631,9667
38,10198,49.102684765310364,0.09142552887090712,5,9631,9667
39,10198,49.683975683564135,0.09142552887090712,5,9631,9667
40,20039,49.665077436252126,0.07092132927361987,5,19566,10198
41,20039,46.73547708169669,0.07092132927361987,5,19566,10198
42,20039,46.62743505371838,0.07092132927361987,5,19566,10198
43,20039,46.23916532012513,0.07092132927361987,5,19566,10198
44,20039,45.146287560614525,0.07092132927361987,5,19566,10198
45,20039,46.17784563971724,0.07092132927361987,5,19566,10198
46,20039,46.789781559048386,0.07092132927361987,5,19566,10198
47,23382,49.486821929283295,0.20771235799759452,3,22896,22896
48,23382,49.20891878277948,0.20771235799759452,3,22896,22896
49,23382,48.88487911832322,0.20771235799759452,3,22896,22896
50,24876,52.70684759862704,0.39011929733263717,5,20558,24408
51,24876,53.061724338667965,0.39011929733263717,5,20558,24408
52,24876,54.55530173991344,0.39011929733263717,5,20558,24408
53,24876,54.360508894064175,0.39011929733263717,5,20558,24408
54,24876,54.30176195159787,0.39011929733263717,5,20558,24408
55,24876,53.73386489151343,0.39011929733263717,5,20558,24408
56,24876,52.62693573724811,0.39011929733263717,5,20558,24408
57,24876,53.94348062318176,0.39011929733263717,5,20558,24408
58,24876,54.07856991103448,0.39011929733263717,5,20558,24408
59,24876,53.28875552623267,0.39011929733263717,5,20558,24408
60,24876,54.05367735758751,0.39011929733263717,5,20558,24408
61,24876,52.660874802487875,0.39011929733263717,5,20558,24408
62,24876,51.63388139742457,0.39011929733263717,5,20558,24408
63,24876,53.048336735575596,0.39011929733263717,5,20558,24408
64,24876,52.917463199764384,0.39011929733263717,5,20558,24408
65,30623,52.54328765725758,0.20101984824362149,3,30165,23382
66,30623,51.871305339918784,0.20101984824362149,3,30165,23382
67,24876,54.17624952153655,0.39011929733263717,5,20558,24408
68,24876,53.81878576020691,0.39011929733263717,5,20558,24408
69,24876,53.385602005990656,0.39011929733263717,5,20558,24408
70,24876,53.45183035280473,0.39011929733263717,5,20558,24408
71,30623,52.5543771235361,0.20101984824362149,3,30165,23382
72,24876,53.35205450928855,0.39011929733263717,5,20558,24408
73,24876,52.602942908201946,0.39011929733263717,5,20558,24408
74,30623,51.89153974102304,0.20101984824362149,3,30165,23382
75,24876,51.792758530891064,0.39011929733263717,5,20558,24408
76,24876,52.46522209755649,0.39011929733263717,5,20558,24408
77,24876,51.61325733821339,0.39011929733263717,5,20558,24408
78,24876,53.20384744749112,0.39011929733263717,5,20558,24408
79,24876,51.6299339043077,0.39011929733263717,5,20558,24408
80,24876,52.610001580381336,0.39011929733263717,5,20558,24408
81,24876,52.92325486559754,0.39011929733263717,5,20558,24408
82,37926,54.457587874542654,0.18473225578212377,3,37478,30623
83,24876,52.88804234559188,0.39011929733263717,5,20558,24408
84,24876,53.35198287089308,0.39011929733263717,5,20558,24408
85,24876,53.380568891425575,0.39011929733263717,5,20558,24408
86,24876,52.8529930935042,0.39011929733263717,5,20558,24408
87,24876,53.469967879912105,0.39011929733263717,5,20558,24408
88,24876,53.318421724250484,0.39011929733263717,5,20558,24408
89,24876,52.655872016117875,0.39011929733263717,5,20558,24408
90,37926,54.013417641275616,0.18473225578212377,3,37478,30623
