generation,id,novelty,score,species,parent1,parent2
0,61,27.70026986494031,0.5035095461577094,1,-1,-1
1,722,23.1780635954439,0.7573849567319256,4,373,328
2,1389,23.48895502952487,0.7623705179308675,3,910,621
3,1262,24.182559267859286,0.7578607460062198,1,644,902
4,2417,30.255555742987088,0.7564515689214141,3,1959,1887
5,2941,27.542285853735017,0.7616981423531549,3,2122,2303
6,3111,16.230679343397146,0.7588210910668102,1,1981,2547
7,3453,20.49392915682411,0.7503964594652845,1,3030,3029
8,3963,14.60340760542857,0.7611470530061892,1,3486,3545
9,4464,17.49586936594056,0.7594335735338681,1,3997,2524
10,4995,14.437673150137773,0.7497931506158703,1,4454,4519
11,5752,17.47160469515584,0.7621529258660462,1,4985,5064
12,6287,26.82594991835251,0.758704364104912,1,5749,5698
13,6465,21.384889715312504,0.7616278480648975,4,6017,6050
14,7202,26.331329808995488,0.7598176564209906,1,6705,6701
15,7649,17.297768122289348,0.7617786814784301,1,7228,7161
16,8072,17.001494317349334,0.7567073402830488,1,7546,7609
17,8619,26.76825927340896,0.7601995648568184,1,7977,8044
18,7977,30.523310372484705,0.7527850619982452,1,7596,5698
19,9691,13.275372434853937,0.7609890141810381,3,8100,9228
20,9925,17.63890536056706,0.7609861484226619,4,6492,9381
21,10681,20.64422531212835,0.7600529400164439,2,10040,10017
22,10910,24.229836661729845,0.7599272397398048,4,10392,10341
23,11432,24.224732550077114,0.7583319743404414,4,10912,10906
24,12019,10.809832328434416,0.7624320868626662,3,11518,11547
25,12474,24.333541223624195,0.7588632073017564,4,11877,11941
26,13233,11.853260756948941,0.7607832113748711,5,12755,12714
27,13397,15.347285365565341,0.7586310520542677,1,10027,12805
28,13921,25.256725842046215,0.7620451815403498,4,13278,13278
29,14273,24.2836399037753,0.7606065287608562,2,13914,13923
30,14883,22.453841197622708,0.759204325924705,4,14277,14235
31,15415,25.374922104127922,0.7596653630725445,2,14890,13362
32,15994,26.349499334904287,0.7605933971380944,2,15227,15273
33,16506,31.91025821043519,0.7593605246863866,3,16076,16106
34,16827,27.607208248235768,0.759000557983706,2,15759,16279
35,17335,15.595651640706794,0.7592733508643674,2,16204,16339
36,17952,16.18042879735159,0.7613860160217862,3,17507,17507
37,18275,16.461550236950867,0.7539196973300961,1,17813,17736
38,18632,26.63208255383638,0.7614562385453506,1,18216,18190
39,19212,21.423707910085817,0.7617504737840189,1,18673,18668
40,19812,17.973137385242435,0.7613854309852517,4,19388,19321
41,20496,29.279753372032143,0.7606989412143199,3,20001,20001
42,20744,23.925262202566497,0.7615051323321861,1,20312,20272
43,21225,18.865445058841797,0.7605670318586581,2,20734,20737
44,22040,37.102712609059964,0.7627581845930774,5,21551,21553
45,22385,23.899693607925045,0.7603993597101114,3,21908,21970
46,22683,13.272654118284779,0.7614934179066265,1,22084,22055
47,23103,19.79379371721387,0.7576008889046302,2,22544,22561
48,23978,12.324452606695596,0.7624259810010626,3,23422,23406
49,24048,21.666954742702497,0.761269118117154,4,23581,23546
50,24926,12.48068348071493,0.7582740373702385,3,24458,23382
51,25221,15.422443630013182,0.748592588652132,1,24647,24690
52,25838,26.94639734820493,0.7457843318461048,3,25342,25348
53,26389,23.56441664550492,0.7430573490982804,5,25927,25927
54,26701,15.710349229801658,0.7522025127893319,1,26215,26233
55,27261,36.301342846375164,0.7635538351006393,6,26781,26803
56,27693,22.541898672905152,0.7600311727756502,1,26520,26520
57,27891,27.069341606742388,0.7603760262307273,8,26930,27430
58,28667,46.35177085168347,0.8985184659556816,6,28238,28237
59,28667,44.37766249336479,0.8985184659556816,6,28238,28237
60,28667,44.59226952436769,0.8985184659556816,6,28238,28237
61,28667,45.3482795867975,0.8985184659556816,6,28238,28237
62,28667,49.06925376730266,0.8985184659556816,6,28238,28237
63,28667,50.0485552834437,0.8985184659556816,6,28238,28237
64,28667,47.513747722029095,0.8985184659556816,6,28238,28237
65,28667,49.716233657757776,0.8985184659556816,6,28238,28237
66,28667,47.15049182967638,0.8985184659556816,6,28238,28237
67,28667,49.52164344740949,0.8985184659556816,6,28238,28237
68,28667,51.12155025070036,0.8985184659556816,6,28238,28237
69,28667,49.856407637627726,0.8985184659556816,6,28238,28237
70,34539,40.96798184983736,0.9410428934363039,6,28667,28667
71,28667,49.32626973928825,0.8985184659556816,6,28238,28237
72,28667,46.0931979445899,0.8985184659556816,6,28238,28237
73,28667,47.559813207576134,0.8985184659556816,6,28238,28237
74,28667,50.07097404834461,0.8985184659556816,6,28238,28237
75,28667,48.596926868049174,0.8985184659556816,6,28238,28237
76,28667,51.11080836910377,0.8985184659556816,6,28238,28237
77,28667,49.86573630784993,0.8985184659556816,6,28238,28237
78,28667,49.46801794151044,0.8985184659556816,6,28238,28237
79,28667,47.87983737787575,0.8985184659556816,6,28238,28237
80,28667,45.30812074685354,0.8985184659556816,6,28238,28237
81,39873,37.25145000102446,0.936980972474024,6,39353,39348
82,28667,49.07795995202615,0.8985184659556816,6,28238,28237
83,28667,48.590939222161396,0.8985184659556816,6,28238,28237
84,28667,49.68015822700789,0.8985184659556816,6,28238,28237
85,28667,45.988168484007275,0.8985184659556816,6,28238,28237
86,28667,47.33195002347067,0.8985184659556816,6,28238,28237
87,28667,45.39030078064783,0.8985184659556816,6,28238,28237
88,43234,47.63413142105148,0.9054590878631855,6,42238,42786
89,43234,44.518544868825565,0.9054590878631855,6,42238,42786
90,44197,49.31421412973139,1.0,6,43748,43736
